slug,title,category,subcategory,audience,variation,price,catalogStatus,isActive,hasImage,approved,notes
"legging-scrunch-feminina","Legging scrunch feminina","Feminina","Leggings e Calcas","feminino","Scrunch","0","draft","false","false","false",""
"legging-sem-costura-feminina","Legging sem costura feminina","Feminina","Leggings e Calcas","feminino","Sem costura","0","draft","false","false","false",""
"legging-com-bolso-lateral-feminina","Legging com bolso lateral feminina","Feminina","Leggings e Calcas","feminino","Bolso lateral","0","draft","false","false","false",""
"calca-jogger-feminina","Calca jogger feminina","Feminina","Leggings e Calcas","feminino","","0","draft","false","false","false",""
"calca-moletom-feminina","Calca de moletom feminina","Feminina","Leggings e Calcas","feminino","","0","draft","false","false","false",""
"short-ciclista-feminino","Short ciclista feminino","Feminina","Shorts e Bermudas","feminino","","0","draft","false","false","false",""
"short-duplo-feminino","Short duplo feminino","Feminina","Shorts e Bermudas","feminino","Compressao interna","0","draft","false","false","false",""
"short-saia-esportivo-feminino","Short saia esportivo feminino","Feminina","Shorts e Bermudas","feminino","","0","draft","false","false","false",""
"short-microcurto-feminino","Short microcurto feminino","Feminina","Shorts e Bermudas","feminino","Microcurto","0","draft","false","false","false",""
"macacao-longo-feminino","Macacao longo fitness feminino","Feminina","Pecas Unicas e Conjuntos","feminino","Longo","0","draft","false","false","false",""
"macaquinho-curto-feminino","Macaquinho curto fitness feminino","Feminina","Pecas Unicas e Conjuntos","feminino","Curto","0","draft","false","false","false",""
"conjunto-top-legging-feminino","Conjunto top e legging feminino","Feminina","Pecas Unicas e Conjuntos","feminino","Top + Legging","0","draft","false","false","false",""
"conjunto-top-short-feminino","Conjunto top e short feminino","Feminina","Pecas Unicas e Conjuntos","feminino","Top + Short","0","draft","false","false","false",""
"body-esportivo-feminino","Body esportivo feminino","Feminina","Pecas Unicas e Conjuntos","feminino","","0","draft","false","false","false",""
"corta-vento-feminino","Corta-vento feminino","Feminina","Casacos Esportivos","feminino","","0","draft","false","false","false",""
"jaqueta-esportiva-feminina","Jaqueta esportiva feminina","Feminina","Casacos Esportivos","feminino","","0","draft","false","false","false",""
"casaco-com-ziper-feminino","Casaco com ziper feminino","Feminina","Casacos Esportivos","feminino","Com ziper","0","draft","false","false","false",""
"tenis-treino-forca-feminino","Tenis de treino de forca feminino","Feminina","Calcados Femininos","feminino","Forca / Musculacao","0","draft","false","false","false",""
"tenis-corrida-feminino","Tenis de corrida feminino","Feminina","Calcados Femininos","feminino","Corrida / Esteira","0","draft","false","false","false",""
"bolsa-esportiva-feminina","Bolsa esportiva feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"mochila-fitness-feminina","Mochila fitness feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"luva-treino-feminina","Luva de treino feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"grip-feminino","Grip feminino para treino","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"meia-esportiva-feminina","Meia esportiva feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"munhequeira-feminina","Munhequeira feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"faixa-cabelo-feminina","Faixa de cabelo esportiva feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"elastico-feminino","Elastico esportivo feminino","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"garrafa-feminina","Garrafa esportiva feminina","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
"fortalecedor-pegada-feminino","Fortalecedor de pegada feminino","Feminina","Acessorios Femininos","feminino","","0","draft","false","false","false",""
